id,name,latitude,longitude,timestamp,free_bikes,empty_slots,extra,total_bikes
38f045e3f43f86eae42ca4c60257ade0,Wallace & 4th,49.268974,-123.190701,2024-12-18T07:00:35.007246Z,11,7,"{'uid': '0401', 'renting': True, 'returning': True, 'last_updated': 1734504920, 'slots': 18, 'normal_bikes': 10, 'ebikes': 1, 'has_ebikes': True}",18
3a4131fa94946d93d3529136efd62413,Pacific & Richards,49.273663,-123.127075,2024-12-18T07:00:34.861035Z,11,3,"{'uid': '0044', 'renting': True, 'returning': True, 'last_updated': 1734505105, 'slots': 14, 'normal_bikes': 9, 'ebikes': 2, 'has_ebikes': True}",14
3aed670ccdcd94b966c0f505f8b028c7,7th &  Alder,49.265198,-123.131043,2024-12-18T07:00:34.924503Z,2,13,"{'uid': '0192', 'renting': True, 'returning': True, 'last_updated': 1734504995, 'slots': 16, 'normal_bikes': 2, 'ebikes': 0, 'has_ebikes': True}",15
3e112f9fe877e0003780386359060ae6,Canada Place,49.287214,-123.11287,2024-12-18T07:00:34.859859Z,23,3,"{'uid': '0014', 'renting': True, 'returning': True, 'last_updated': 1734504952, 'slots': 26, 'normal_bikes': 15, 'ebikes': 8, 'has_ebikes': True}",26
41a55a7e2908fbbd65175b794d26bc8d,Heather & 18th,49.255034,-123.120226,2024-12-18T07:00:35.008564Z,5,11,"{'uid': '0511', 'renting': True, 'returning': True, 'last_updated': 1734505076, 'slots': 16, 'normal_bikes': 4, 'ebikes': 1, 'has_ebikes': True}",16
421516af381a11f54d07fc79be68d3d3,14th & Oak,49.258761,-123.127071,2024-12-18T07:00:34.924820Z,6,9,"{'uid': '0202', 'renting': True, 'returning': True, 'last_updated': 1734505185, 'slots': 14, 'normal_bikes': 4, 'ebikes': 2, 'has_ebikes': True}",15
434b6f4e7fc30198f901b60fc905f609,Bute & Comox,49.283343,-123.131099,2024-12-18T07:00:34.861289Z,8,14,"{'uid': '0050', 'renting': True, 'returning': True, 'last_updated': 1734504725, 'slots': 22, 'normal_bikes': 8, 'ebikes': 0, 'has_ebikes': True}",22
444991edc9550be0908f032da5e3c95f,Comox & Broughton,49.285253,-123.134356,2024-12-18T07:00:34.861234Z,11,1,"{'uid': '0048', 'renting': True, 'returning': True, 'last_updated': 1734504670, 'slots': 12, 'normal_bikes': 7, 'ebikes': 4, 'has_ebikes': True}",12
44fc3d58831a9f2b919c7a3a1838b74a,Station & Terminal,49.272172,-123.097978,2024-12-18T07:00:35.007134Z,11,7,"{'uid': '0354', 'renting': True, 'returning': True, 'last_updated': 1734505116, 'slots': 18, 'normal_bikes': 8, 'ebikes': 3, 'has_ebikes': True}",18
45a4c865db23e1cad0209afa5a799de0,Stanley Park - Third Beach Parking Lot,49.302577,-123.155616,2024-12-18T07:00:34.891005Z,15,23,"{'uid': '0103', 'renting': True, 'returning': True, 'last_updated': 1734505207, 'slots': 38, 'normal_bikes': 14, 'ebikes': 1, 'has_ebikes': True}",38
